Cement,Water,Admixture,Coarse_Aggregate,M_Sand,Age,Compressive_Strength,Embodied_CO2,Energy_Consumption,Resource_Consumption
312.3620357,162.959305,7.851170512,1001.810898,771.5987635,51,344.4766843,307.8564819,1628.413117,2256.582173
485.2142919,187.9330663,7.409363972,1039.004419,841.6296988,71,374.2959333,468.2402011,2418.001368,2561.19084
419.5981825,211.1062085,27.18763742,875.1403696,828.0482789,48,375.1100542,436.2066452,2476.99364,2361.080677
379.5975453,201.255742,7.486385995,987.4622299,646.1699714,19,473.8437187,369.5377361,1928.200394,2221.971875
246.8055921,206.4592804,8.158491784,971.5237949,644.7748409,262,132.7139296,246.9838751,1329.311329,2077.722
246.7983561,196.1148357,22.78194787,1049.849113,680.4523103,84,272.3465311,269.294917,1602.823567,2195.996563
217.4250837,198.4593595,13.49219527,1071.826118,708.3224179,155,192.5569207,228.1872619,1297.074526,2209.525174
459.8528437,209.4436956,23.30131671,803.6470314,722.5366744,53,364.5290778,467.3166699,2586.004803,2218.781562
380.3345035,167.4767606,1.960984727,1002.205976,803.9091651,107,271.6230907,362.302703,1832.79868,2355.88739
412.4217733,184.2597475,14.62713581,815.5507397,617.0041296,357,115.5883761,410.0260161,2205.470073,2043.863526
206.1753483,165.4846609,1.008408005,964.6575995,610.4018113,304,110.4329209,198.3682169,1009.037338,1947.727828
490.9729556,219.1367606,1.879596104,886.2898187,717.5731689,135,257.108124,464.4483759,2335.283966,2315.8523
449.7327922,216.0841538,27.1931236,892.0329799,809.1491076,69,342.7850555,464.2708291,2615.868023,2394.192157
263.7017332,152.7598768,4.177361134,905.887551,658.0306029,11,414.7120834,256.478817,1331.410192,1984.557125
254.5474902,199.3902621,15.97262047,986.3877347,792.4513444,143,200.7095621,266.2584282,1512.849544,2248.749452
255.021353,214.7673822,12.33286808,900.2149897,677.9484414,192,159.3884047,260.6688707,1442.895538,2060.285034
291.2726729,162.6402742,10.42029979,1019.809715,865.8258326,69,303.3808036,292.357454,1581.353851,2349.968795
357.4269295,189.7561661,26.99500037,921.3582157,868.7069833,23,428.8334192,378.360343,2189.535049,2364.243295
329.5835056,214.0841808,0.654701903,820.5059601,689.1861613,181,173.1978621,312.1979261,1567.665434,2054.01451
287.3687421,152.3762185,19.91369059,1035.127953,668.9981262,293,130.3916515,302.6324493,1735.495171,2163.78473
